Date,Narration,Chq./Ref.No.,Value Dt,Withdrawal Amt.,Deposit Amt.,Closing Balance
05/12/24,NETFLIX INDIA SUBSCRIPTION,UPI990011003,05/12/24,649.00,,329101.90
06/12/24,SPOTIFY INDIA PREMIUM,UPI990022003,06/12/24,119.00,,328982.90
08/12/24,HOME LOAN EMI HDFC BANK,UPI100801003,08/12/24,32500.00,,296482.90
10/12/24,RENT NOBROKER TECHNOLOGIES,UPI100802003,10/12/24,24000.00,,272482.90
11/12/24,UPI/DR/887712/ZOMATO ONLINE/FOOD,UPI887712005,11/12/24,534.00,,271948.90
12/12/24,SIP ZERODHA BSE NIFTY50,UPI100803003,12/12/24,10000.00,,261948.90
13/12/24,AMAZON PRIME MEMBERSHIP,UPI334422006,13/12/24,1499.00,,260449.90
14/12/24,IRCTC ETICKET BOOKING,UPI445500002,14/12/24,3120.00,,257329.90
15/12/24,UPI/DR/601823/SWIGGY/BANGALORE,UPI601823007,15/12/24,456.00,,256873.90
16/12/24,OLA CABS BANGALORE,UPI667788002,16/12/24,198.00,,256675.90
17/12/24,FLIPKART INTERNET PVT LTD,UPI556644002,17/12/24,6200.00,,250475.90
18/12/24,BESCOM ELECTRICITY BILL,UPI556677003,18/12/24,1970.00,,248505.90
19/12/24,AIRTEL POSTPAID BILL,UPI223344002,19/12/24,899.00,,247606.90
20/12/24,UPI/DR/601823/SWIGGY/BANGALORE,UPI601823008,20/12/24,312.00,,247294.90
21/12/24,BIGBASKET GROCERIES,UPI334411003,21/12/24,1890.00,,245404.90
22/12/24,GROWW SIP MUTUAL FUND,UPI112233003,22/12/24,5000.00,,240404.90
23/12/24,UPI/DR/998811/MEDPLUS PHARMACY,UPI998811001,23/12/24,1240.00,,239164.90
24/12/24,UPI/DR/887712/ZOMATO ONLINE/FOOD,UPI887712006,24/12/24,890.00,,238274.90
25/12/24,UPI/CR/CASHBACK HDFC CREDIT,REF20241225,25/12/24,,350.00,238624.90
26/12/24,UPI/DR/445566/UBER INDIA,UPI445566004,26/12/24,420.00,,238204.90
27/12/24,UPI/DR/223344/MAKEMYTRIP HOTEL,UPI223344102,27/12/24,12800.00,,225404.90
28/12/24,YOUTUBE PREMIUM SUBSCRIPTION,UPI990033002,28/12/24,129.00,,225275.90
29/12/24,UPI/DR/123456/STARBUCKS INDIA,UPI123456003,29/12/24,740.00,,224535.90
30/12/24,SMS CHARGES DEC,UPI998800002,30/12/24,23.60,,224512.30
01/01/25,NEFT CR-SALARY INFOSYS LTD,REF20250101,01/01/25,,95000.00,319512.30
03/01/25,UPI/DR/601823/SWIGGY/BANGALORE,UPI601823009,03/01/25,502.00,,319010.30
04/01/25,UPI/DR/445566/UBER INDIA,UPI445566005,04/01/25,367.00,,318643.30
05/01/25,NETFLIX INDIA SUBSCRIPTION,UPI990011004,05/01/25,649.00,,317994.30
06/01/25,SPOTIFY INDIA PREMIUM,UPI990022004,06/01/25,119.00,,317875.30
07/01/25,UPI/DR/334422/AMAZON PAY INDIA,UPI334422007,07/01/25,799.00,,317076.30
08/01/25,HOME LOAN EMI HDFC BANK,UPI100801004,08/01/25,32500.00,,284576.30
10/01/25,RENT NOBROKER TECHNOLOGIES,UPI100802004,10/01/25,24000.00,,260576.30
11/01/25,UPI/DR/887712/ZOMATO ONLINE/FOOD,UPI887712007,11/01/25,411.00,,260165.30
12/01/25,SIP ZERODHA BSE NIFTY50,UPI100803004,12/01/25,10000.00,,250165.30
13/01/25,AMAZON PRIME MEMBERSHIP,UPI334422008,13/01/25,1499.00,,248666.30
14/01/25,UPI/DR/601823/SWIGGY/BANGALORE,UPI601823010,14/01/25,389.00,,248277.30
15/01/25,BESCOM ELECTRICITY BILL,UPI556677004,15/01/25,2050.00,,246227.30
16/01/25,UPI/DR/667788/ATHER ENERGY CHARGE,UPI667788101,16/01/25,180.00,,246047.30
17/01/25,MYNTRA DESIGNS PVT LTD,UPI991122002,17/01/25,3100.00,,242947.30
18/01/25,UPI/DR/887712/ZOMATO ONLINE/FOOD,UPI887712008,18/01/25,567.00,,242380.30
19/01/25,IRCTC ETICKET BOOKING,UPI445500003,19/01/25,1850.00,,240530.30
20/01/25,BIGBASKET GROCERIES,UPI334411004,20/01/25,2340.00,,238190.30
21/01/25,GROWW SIP MUTUAL FUND,UPI112233004,21/01/25,5000.00,,233190.30
22/01/25,UPI/DR/601823/SWIGGY/BANGALORE,UPI601823011,22/01/25,290.00,,232900.30
23/01/25,LIC PREMIUM PAYMENT,UPI998877002,23/01/25,4500.00,,228400.30
24/01/25,JIO RECHARGE PREPAID,UPI667711002,24/01/25,299.00,,228101.30
25/01/25,UPI/DR/445566/UBER INDIA,UPI445566006,25/01/25,445.00,,227656.30
26/01/25,UPI/DR/334422/AMAZON PAY INDIA,UPI334422009,26/01/25,4299.00,,223357.30
27/01/25,YOUTUBE PREMIUM SUBSCRIPTION,UPI990033003,27/01/25,129.00,,223228.30
28/01/25,UPI/CR/AMAZON PAY CASHBACK,REF20250128,28/01/25,,225.00,223453.30
29/01/25,UPI/DR/123456/STARBUCKS INDIA,UPI123456004,29/01/25,810.00,,222643.30
30/01/25,UPI/DR/998811/MEDPLUS PHARMACY,UPI998811002,30/01/25,890.00,,221753.30
31/01/25,SMS CHARGES JAN,UPI998800003,31/01/25,23.60,,221729.70
